"","event_id","sex_female","n_female","mean_GSI_female","sd_GSI_female","sex_male","n_male","mean_GSI_male","sd_GSI_male"
"1","E1","F",19,5.10611347048596,2.33692929306415,"M",1,1.11111111111111,NA
"2","E2","F",13,4.06929110016187,2.51588189675368,"M",7,1.38530759927465,0.701845613949046
"3","E3","F",15,2.84423282907856,1.99820474037254,"M",4,0.883250736191913,0.324857322645351
"4","E4","F",11,3.25311608940904,2.05300466796419,"M",9,0.791023676472593,0.340522601704708
"5","E5","F",9,3.53608240000419,3.34417328274576,"M",11,0.64227365834753,0.350110809511216
"6","E6","F",8,2.18202160060195,1.71170346890598,"M",12,1.0207652152686,0.409409229334471
"7","E7","F",9,2.01844792867993,1.84581763749304,"M",9,0.588518825397063,0.244832472715912
"8","E8","F",13,1.34485407493458,0.790323037759473,"M",6,0.622201872201872,0.230532149688641
"9","E9","F",10,4.07837693707259,2.4130349385025,"M",10,1.46447594953266,1.04106345339858
"10","E10","F",9,3.36623461199503,2.51706265490874,"M",11,0.797629382586317,0.3327196463626
"11","E11","F",6,2.81123952176584,1.95527519651761,"M",14,1.14716432569644,0.665679578172116
"12","E12","F",8,3.61659676215597,3.67014345860326,"M",12,0.64244476554572,0.345557659441537
"13","E13","F",9,4.41625937228939,3.44399737970898,"M",11,1.0302848135478,0.662434820523019
"14","E14","F",12,4.27320036119123,2.04582801497715,"M",7,0.920762548477241,0.31168235430004
"15","E15","F",9,2.38781299248779,2.58273079111919,"M",3,0.734879155931788,0.19368588759039
"16","E16","F",13,2.12717205050279,2.57276818462043,"M",7,1.17334680758326,0.634331213274525
"17","E17","F",12,4.09515263582872,3.04647844856695,"M",7,0.700961764015951,0.311619112323598
"18","E18","F",6,0.733266974571322,0.278233044969093,"M",14,0.661474495376278,0.405504970219798
"19","E19","F",6,6.78388719695997,3.90940892363443,"M",14,1.27817755194824,0.369657819161696
"20","E20","F",6,2.87689786059351,2.45295979927932,"M",12,0.725907227430194,0.374429566865939
"21","E21","F",8,1.14226877837075,0.853564508450895,"M",12,0.75426428563541,0.362675165198113
"22","E22","F",16,3.54804932637024,2.41568657553909,"M",4,0.606684981684982,0.550689232569987
"23","E23","F",10,3.24824343451012,3.24437093332962,"M",6,1.24662725189041,1.14935286974859
"24","E24","F",6,3.53405017921147,1.0658346762776,"M",3,0.595916429249763,0.275884163375048
