"","event_id","sex","n","mean_RS","sd_RS"
"1","E1","F",19,3.47368421052632,1.12390297389803
"2","E1","M",1,3,NA
"3","E2","F",13,3.92307692307692,0.640512615220349
"4","E2","M",7,3.28571428571429,0.755928946018454
"5","E3","F",15,4.13333333333333,0.915475416434127
"6","E3","M",4,3,1.4142135623731
"7","E4","F",11,3.36363636363636,1.20604537831105
"8","E4","M",9,2.77777777777778,0.833333333333333
"9","E5","F",9,3.66666666666667,1.22474487139159
"10","E5","M",11,4.09090909090909,1.04446593573419
"11","E6","F",8,3.625,1.18773493916542
"12","E6","M",12,3.25,0.753778361444409
"13","E7","F",9,4.33333333333333,1.11803398874989
"14","E7","M",9,2.88888888888889,0.781735959970572
"15","E8","F",13,4.23076923076923,1.30088727117598
"16","E8","M",6,2.5,0.836660026534076
"17","E9","F",10,3.7,1.33749350984926
"18","E9","M",10,3.6,0.843274042711568
"19","E10","F",9,3.55555555555556,1.0137937550497
"20","E10","M",11,3.54545454545455,0.934198732993827
"21","E11","F",6,4.5,0.547722557505166
"22","E11","M",14,3.28571428571429,0.726273039202563
"23","E12","F",8,4.25,0.707106781186548
"24","E12","M",12,3.41666666666667,0.996204919895622
"25","E13","F",9,3.77777777777778,0.97182531580755
"26","E13","M",11,3.45454545454545,0.820199532264724
"27","E14","F",12,3.58333333333333,0.90033663737852
"28","E14","M",7,3.14285714285714,0.377964473009227
"29","E15","F",9,4.11111111111111,1.16666666666667
"30","E15","M",3,2.33333333333333,1.52752523165195
"31","E16","F",13,3.84615384615385,1.46322439872551
"32","E16","M",7,3.14285714285714,1.21498579258791
"33","E17","F",12,3.83333333333333,1.02985730108887
"34","E17","M",7,3.57142857142857,1.13389341902768
"35","E18","F",6,4.83333333333333,0.408248290463863
"36","E18","M",14,3.92857142857143,0.997248963150875
"37","E19","F",6,3.16666666666667,0.983192080250175
"38","E19","M",14,3.28571428571429,0.726273039202563
"39","E20","F",6,4,1.09544511501033
"40","E20","M",12,3.08333333333333,0.996204919895622
"41","E21","F",8,4.375,1.06066017177982
"42","E21","M",12,2.58333333333333,0.668557923421521
"43","E22","F",16,3.125,1.31021626713557
"44","E22","M",4,2.75,1.70782512765993
"45","E23","F",10,3.8,0.918936583472681
"46","E23","M",6,3.66666666666667,0.516397779494322
"47","E24","F",6,3.33333333333333,1.211060141639
"48","E24","M",3,4,1
