"","Location","Month","Precip_p15_MERGE","Predominant_Items"
"1","Propria","July",27.5625,"Formicidae (99.6%), Chironomidae (L) (0.1%), Staphynilidae (0.1%)"
"2","UHE Xingo","April",24.5,"Insect Remains (60.9%), Organic matter (20.8%), Hydracarina (8.2%)"
"3","Amparo","July",24,"Formicidae (98.7%), Vespidae (0.7%), Chaoboridae (0.2%)"
"4","Gararu","July",22.5625,"Formicidae (53.1%), Insect Remains (20.9%), Ephemeroptera (10.4%)"
"5","Amparo","April",22.3125,"Insect Remains (43.5%), Formicidae (30.7%), Organic matter (21%)"
"6","Niteroi","April",20.3125,"Filamentous Algae (39.5%), Chironomidae (L) (20.2%), Insect Remains (15.3%)"
"7","Curralinho","April",17.5625,"Insect Remains (46.8%), Filamentous Algae (24.8%), Chironomidae (L) (10.2%)"
"8","Propria","April",17.25,"Organic matter (48.4%), Insect Remains (30.9%), Filamentous Algae (13.9%)"
"9","Curralinho","July",14.375,"Colembola (80.3%), Insect Remains (9.6%), Hemiptera (5.2%)"
"10","Ilha do ouro","April",13.6875,"Filamentous Algae (94.5%), Insect Remains (2.7%), Cladocera (1%)"
"11","Ilha do ouro","October",11.1875,"Filamentous Algae (99.6%), Formicidae (0.2%), Insect Remains (0.1%)"
"12","Ilha do ouro","July",10.375,"Insect Remains (36.3%), Chironomidae (L) (14.5%), Filamentous Algae (13.1%)"
