"","event_id","sex","Month","Location","Biome","p3","mean_GSI","sd_GSI","mean_HSI","sd_HSI","n"
"1","E1","F","January","Curralinho","CAATINGA",0.125,5.10611347048596,2.33692929306415,1.79364469265311,0.724223834102137,19
"2","E1","M","January","Curralinho","CAATINGA",0.125,1.11111111111111,NA,2.59259259259259,NA,1
"3","E10","F","April","Niteroi","CAATINGA",20.3125,3.36623461199503,2.51706265490874,0.759582677854177,0.382497539791757,9
"4","E10","M","April","Niteroi","CAATINGA",20.3125,0.797629382586317,0.3327196463626,1.28002521985969,0.737730468233403,11
"5","E11","F","July","Niteroi","CAATINGA",8.875,2.81123952176584,1.95527519651761,1.26708547761179,0.726138741579661,6
"6","E11","M","July","Niteroi","CAATINGA",8.875,1.14716432569644,0.665679578172116,1.08874187107709,0.685318857032116,14
"7","E12","F","October","Niteroi","CAATINGA",9.375,3.61659676215597,3.67014345860326,1.13395883173844,0.901915547056157,8
"8","E12","M","October","Niteroi","CAATINGA",9.375,0.64244476554572,0.345557659441537,1.34382930548378,0.737872352507672,12
"9","E13","F","January","UHE Xingo","CAATINGA",0,4.41625937228939,3.44399737970898,1.21139362420418,0.391461270763253,9
"10","E13","M","January","UHE Xingo","CAATINGA",0,1.0302848135478,0.662434820523019,0.979605169728228,0.348674991201147,11
"11","E14","F","April","UHE Xingo","CAATINGA",24.5,4.27320036119123,2.04582801497715,1.05372778892143,0.254088133154581,12
"12","E14","M","April","UHE Xingo","CAATINGA",24.5,0.920762548477241,0.31168235430004,0.730363426900709,0.308609067541204,7
"13","E15","F","October","UHE Xingo","CAATINGA",9.75,2.38781299248779,2.58273079111919,1.57087082595213,1.19760418428796,9
"14","E15","M","October","UHE Xingo","CAATINGA",9.75,0.734879155931787,0.19368588759039,0.734879155931787,0.19368588759039,3
"15","E16","F","January","Amparo","ATLANTIC",0.875,2.12717205050279,2.57276818462043,2.01873622785074,1.3448224051068,13
"16","E16","M","January","Amparo","ATLANTIC",0.875,1.17334680758326,0.634331213274525,1.72229703387339,0.902988616081499,7
"17","E17","F","April","Amparo","ATLANTIC",22.3125,4.09515263582872,3.04647844856695,1.56983656493504,0.745000958136203,12
"18","E17","M","April","Amparo","ATLANTIC",22.3125,0.700961764015951,0.311619112323598,1.58157009930409,0.475084168622679,7
"19","E18","F","July","Amparo","ATLANTIC",24,0.733266974571322,0.278233044969093,1.47966767531985,0.56622870206635,6
"20","E18","M","July","Amparo","ATLANTIC",24,0.661474495376278,0.405504970219798,0.92698854348576,0.475457047720954,14
"21","E19","F","April","Gararu","ATLANTIC",6.625,6.78388719695997,3.90940892363443,3.28669407299798,4.53212402468808,6
"22","E19","M","April","Gararu","ATLANTIC",6.625,1.27817755194824,0.369657819161696,1.35244884769187,0.621126663810655,14
"23","E2","F","April","Curralinho","CAATINGA",17.5625,4.06929110016187,2.51588189675368,1.63295160724319,1.02006297192833,13
"24","E2","M","April","Curralinho","CAATINGA",17.5625,1.38530759927465,0.701845613949046,1.08202057361289,0.650495126146761,7
"25","E20","F","July","Gararu","ATLANTIC",22.5625,2.87689786059351,2.45295979927932,0.921670117322291,0.523279757582233,6
"26","E20","M","July","Gararu","ATLANTIC",22.5625,0.725907227430194,0.374429566865939,1.20211407032061,0.754558491683537,12
"27","E21","F","October","Gararu","ATLANTIC",7.1875,1.14226877837075,0.853564508450895,0.842606543675623,0.422426474887018,8
"28","E21","M","October","Gararu","ATLANTIC",7.1875,0.75426428563541,0.362675165198113,0.753022086476544,0.442323631764646,12
"29","E22","F","January","Propria","ATLANTIC",0.6875,3.54804932637024,2.41568657553909,1.77566083599267,1.15260360804452,16
"30","E22","M","January","Propria","ATLANTIC",0.6875,0.606684981684982,0.550689232569987,0.92032967032967,0.339816397715741,4
"31","E23","F","April","Propria","ATLANTIC",17.25,3.24824343451012,3.24437093332962,2.53496819473321,2.50138582963013,10
"32","E23","M","April","Propria","ATLANTIC",17.25,1.24662725189041,1.14935286974859,1.23301844354476,0.530110418213797,6
"33","E24","F","July","Propria","ATLANTIC",27.5625,3.53405017921147,1.0658346762776,1.05859671988704,0.651781856078041,6
"34","E24","M","July","Propria","ATLANTIC",27.5625,0.595916429249763,0.275884163375048,1.1301044634378,0.399199421785066,3
"35","E3","F","July","Curralinho","CAATINGA",14.375,2.84423282907856,1.99820474037254,1.43817721903021,0.823706032829916,15
"36","E3","M","July","Curralinho","CAATINGA",14.375,0.883250736191913,0.324857322645351,1.88043165984342,0.55035162514273,4
"37","E4","F","October","Curralinho","CAATINGA",10.0625,3.25311608940904,2.05300466796419,1.72010218598997,0.911606752215336,11
"38","E4","M","October","Curralinho","CAATINGA",10.0625,0.791023676472593,0.340522601704708,1.42277355332051,0.649012043919916,9
"39","E5","F","January","Ilha do ouro","CAATINGA",0.0625,3.53608240000419,3.34417328274576,1.42541791650089,0.488393947890371,9
"40","E5","M","January","Ilha do ouro","CAATINGA",0.0625,0.64227365834753,0.350110809511216,1.63538234767715,2.2524807627966,11
"41","E6","F","April","Ilha do ouro","CAATINGA",13.6875,2.18202160060195,1.71170346890598,2.07615311770197,0.926533257264162,8
"42","E6","M","April","Ilha do ouro","CAATINGA",13.6875,1.0207652152686,0.409409229334471,1.1674192405294,0.398818089829865,12
"43","E7","F","July","Ilha do ouro","CAATINGA",10.375,2.01844792867993,1.84581763749304,0.744269829699661,0.4052082698318,9
"44","E7","M","July","Ilha do ouro","CAATINGA",10.375,0.588518825397063,0.244832472715912,0.807373102231656,0.225754169792603,9
"45","E8","F","October","Ilha do ouro","CAATINGA",11.1875,1.34485407493458,0.790323037759472,1.0678602453535,0.47035400777909,13
"46","E8","M","October","Ilha do ouro","CAATINGA",11.1875,0.622201872201872,0.230532149688641,1.3788665038665,0.846485557309795,6
"47","E9","F","January","Niteroi","CAATINGA",0,4.07837693707259,2.4130349385025,1.9727607336303,2.13581564576653,10
"48","E9","M","January","Niteroi","CAATINGA",0,1.46447594953266,1.04106345339858,1.58075843313144,1.04453473406881,10
