Location,Month,Acari,Amphipoda,Aranae,Baetidae,Caenidae,Calamoceratidae,Ceratopogonidae,Chaoboridae,Chironomidae (L),Chironomidae(pupa),Cladocera,Colembola,Coleoptera,Coleoptera (larva),Copepoda,Corixidae,Diptera (adult),Diptera (pupa),Dytiscidae,Elmidae,Empididae,Ephemeroptera,Filamentous Algae,Formicidae,Gerrridae,Helicopsychidae,Hemiptera,Hydracarina,Hydropsychidae,Hymenoptera,Insect Remains,Invertebrate eggs,Isoptera,Lampyridae,Leptoceridae,Leptohyphes,Leptophlebiidae,Libellulidae,Naucoridae,Noteridae,Odonata (N),Organic matter,Orthoptera,Ostracoda,Philopotamidae,Plant Matter,Plecoptera,Pleidae,Pseudoscorpionida,Psocoptera,Psychodidae,Pyralidae,Scales,Sediments,Seeds and Fruits,Shrimp (L),Simullidae,Staphynilidae,Thysanura,Tingidae,Trichoptera,Trichoptera (L),Vellidae,Vespidae
Curralinho,January,0,0,0,0.138453346,0,0,0,0,0.05362275,0,0.05362275,0,0,0,0,0,0,0.039968038,0,0,0,0.762541572,0.236454104,0,0,0,0,0,0,0,0.452186735,0.01787425,0,0,0,0.226093368,0.265117974,0,0,0,0,0.079936077,0,0.05362275,0,0,0,0,0,0,0.01787425,0,0,0.01787425,0,0,0,0,0,0,0,0,0,0
Curralinho,April,0,0,0,0,0,0.026225139,0,0.213054035,0.319042584,0.026225139,0.052450278,0,0,0,0,0,0,0,0,0,0,0.058641193,0.497587025,0.026225139,0.064238209,0,0,0,0.082931171,0.026225139,0.683867954,0.058641193,0,0,0,0.20649695,0,0,0,0,0,0.082931171,0,0,0,0.252906081,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.026225139,0,0,0
Curralinho,July,0,0,0,0.058696727,0,0,0,0,0,0,0,0.896046762,0.037888574,0,0,0,0,0,0.053582536,0.119814192,0,0,0,0.071888515,0,0,0.22859091,0,0.031699856,0,0.310593885,0,0,0,0,0,0,0,0.016944286,0,0.053582536,0,0.065624936,0.046403837,0,0,0,0,0,0.023962838,0,0.016944286,0,0,0,0,0,0.016944286,0.011981419,0,0,0,0,0.095851354
Curralinho,October,0,0,0,0.692674512,0.100503782,0,0,0,0.018349396,0,0.110096377,0,0,0,0,0,0,0,0,0,0,0.307044124,0.277069805,0,0,0,0,0.018349396,0,0,0.467099366,0.279489674,0,0,0,0,0.077849894,0,0,0,0,0,0,0.018349396,0,0,0,0.153522062,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ilha do ouro,January,0,0,0,0.230581704,0,0,0,0.021049133,0.139624155,0.364581685,0,0,0,0,0,0,0.021049133,0,0,0,0,0.595359399,0.266252817,0.098729187,0,0,0,0,0.072916337,0,0.525807184,0,0,0,0,0,0.230581704,0,0,0.066563204,0,0,0,0.036458169,0,0.066563204,0,0,0,0,0.094134586,0,0.047067293,0,0.047067293,0,0,0,0,0,0,0,0,0
Ilha do ouro,April,0,0.0164696,0,0,0,0,0,0,0.021262163,0,0.098817603,0,0,0,0,0,0,0,0,0,0,0,0.972032043,0,0,0,0,0,0,0,0.164696005,0,0,0,0,0,0,0,0,0,0,0,0,0.093166129,0,0,0,0,0,0,0,0,0.05208145,0.069874597,0,0.035578403,0,0,0,0,0,0,0,0
Ilha do ouro,July,0,0.077810606,0.022461987,0.249115489,0,0,0.05022653,0,0.381192563,0,0.308801269,0,0,0,0.044923974,0,0,0,0,0,0,0.301359181,0.361491473,0,0.022461987,0,0,0,0,0,0.602718363,0,0,0,0,0,0.063532094,0,0,0,0,0.223493951,0,0.086994902,0,0,0,0,0,0,0,0,0,0.095298141,0,0,0,0,0,0,0,0,0,0.173989804
Ilha do ouro,October,0,0,0,0.026437362,0,0,0,0,0,0,0,0,0,0,0,0,0,0.013218681,0,0,0,0,0.997988541,0.04180114,0,0,0,0,0,0,0.02955787,0,0,0,0,0,0,0,0,0,0,0,0,0.013218681,0.013218681,0,0,0,0,0,0,0,0.013218681,0,0,0,0,0,0,0,0,0,0,0
Niteroi,January,0,0,0,0.038972955,0,0.019486477,0,0,0.189430211,0,0.027558041,0,0,0,0,0,0,0,0.061621652,0,0,0,0.951451082,0.036455861,0,0,0,0,0.01377902,0,0.206225493,0,0,0,0,0,0,0,0,0.030810826,0,0,0,0.041337061,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.075470803
Niteroi,April,0,0,0,0.369021111,0,0,0,0,0.449466575,0,0.019341962,0,0.136768323,0,0,0,0,0,0,0,0,0,0.628539361,0.054707329,0,0,0,0,0.033501261,0,0.391644876,0,0,0,0,0,0.061164654,0,0,0.074911096,0,0.241581025,0,0,0,0,0,0,0,0,0,0.149822192,0,0,0,0,0,0,0,0,0,0,0,0
Niteroi,July,0,0,0,0.101955924,0,0.026324906,0,0,0.241271752,0,0.341209784,0,0,0,0.052649813,0,0,0,0,0.14418745,0,0.29899346,0.646435935,0.083246663,0,0,0,0.052649813,0.083246663,0,0.499479979,0,0,0,0.05886428,0,0,0,0,0,0,0.074458079,0,0.078974719,0,0.03722904,0,0,0,0,0,0,0,0.026324906,0,0,0,0,0,0,0,0,0,0
Niteroi,October,0,0,0,0.16276826,0,0,0.013159034,0,0.38835874,0,0.130267789,0,0,0,0,0,0,0.013159034,0,0,0,0.096698756,0.548591269,0,0,0,0,0.013159034,0,0.058848989,0.689312349,0,0,0,0,0,0,0,0,0,0,0.018609684,0,0.110096377,0,0,0,0,0,0,0,0,0,0.06172134,0,0,0,0,0,0,0,0,0,0
UHE Xingo,January,0.011913207,0,0.041268559,0,0,0,0,0.156240242,0.175087667,0.093804684,0.122074044,0,0.116725111,0.011913207,0,0,0,0.033695637,0,0.195753963,0,0.093804684,0.037672868,0.830513727,0,0,0.041268559,0.03573962,0,0.183401487,0.265854094,0.011913207,0,0.011913207,0,0,0,0,0,0,0,0.156240242,0,0.155785394,0,0.037672868,0,0,0.0807993,0.02663874,0,0.023826414,0,0.011913207,0,0,0,0,0.011913207,0,0.016847819,0.011913207,0,0
UHE Xingo,April,0,0,0,0,0,0,0,0.056750435,0.160514471,0,0.028375218,0.028375218,0,0,0,0,0.040128618,0,0,0,0,0,0.139009609,0,0,0,0,0.286575651,0,0,0.780189498,0,0,0,0.089730317,0,0,0,0,0,0,0.455773484,0,0.085125653,0,0.183892428,0,0,0,0,0,0,0,0.028375218,0,0,0,0,0,0,0,0,0,0
UHE Xingo,October,0,0,0,0.286006278,0,0,0,0,0.045221563,0.063952948,0.110769755,0,0,0,0,0,0,0,0,0.202236979,0,0,0.045221563,0.045221563,0,0,0.143003139,0.045221563,0,0,0.910066404,0,0,0,0,0,0,0,0,0,0,0,0,0.063952948,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Amparo,January,0.015395551,0,0,0.068850997,0,0,0,0,0.326588956,0,0.092373306,0,0.068850997,0,0,0,0,0,0,0,0,0.153183799,0.379618201,0.015395551,0,0,0,0,0,0.068850997,0.828789858,0,0,0,0,0.021772597,0,0,0,0,0,0.059626713,0,0,0.084324906,0.048685007,0,0.034425499,0,0,0,0,0,0.030791102,0,0,0,0,0,0,0,0,0,0
Amparo,April,0,0,0.056803819,0.040166366,0.051854555,0,0,0.011595031,0.023190062,0.0327957,0.025927277,0,0,0,0,0,0,0.0327957,0,0,0,0,0.137194257,0.55365514,0,0,0,0.034785093,0.011595031,0,0.659389338,0,0,0,0.051854555,0,0,0,0,0.054385516,0,0.457967029,0,0.093482128,0,0,0,0,0,0.04919355,0,0,0,0.020083183,0,0,0,0.011595031,0.020083183,0,0,0,0,0
Amparo,July,0,0,0.022572048,0.0414675,0,0,0,0.048869917,0.005643012,0.011286024,0,0,0.003990212,0,0,0,0,0,0.005643012,0.007980424,0,0.008922385,0,0.993554786,0,0,0.021855291,0,0.003990212,0,0,0,0.008922385,0,0.003990212,0,0,0,0,0,0,0,0.016929036,0.003990212,0,0,0,0,0,0.007980424,0,0,0,0,0,0,0,0,0,0,0,0,0,0.08322247
Gararu,April,0,0.038252737,0.038252737,0.024193155,0,0,0,0.017107144,0.068428576,0.054097539,0.223049868,0,0,0,0,0,0,0,0.04838631,0,0.054097539,0.108195078,0.417288094,0.083807547,0,0,0,0.017107144,0,0,0.441483651,0,0,0,0,0,0,0,0,0,0,0.310766703,0,0.191263684,0.029630443,0,0.024193155,0,0,0,0,0,0,0,0,0.64100448,0,0,0,0,0,0,0,0
Gararu,July,0,0,0,0.127564272,0,0,0,0.071175921,0.133157954,0.213527762,0,0.00876115,0.044673276,0,0,0,0.00876115,0.039181055,0,0,0,0.321905213,0,0.728388348,0.021460348,0.00876115,0.0175223,0,0.00876115,0.035044601,0.457597147,0.00876115,0,0,0,0.02770519,0,0.02770519,0,0,0.096770067,0,0,0.026283451,0,0,0,0,0.02770519,0.071175921,0,0.012390137,0,0.00876115,0,0.051831663,0.021460348,0.00876115,0.046359649,0.031588776,0,0.035044601,0.0175223,0.200743169
Gararu,October,0,0,0,0.315566786,0,0,0,0,0.043902178,0,0.035845978,0,0,0,0.017922989,0.056677468,0,0,0,0,0,0.164266908,0.800537885,0.205919467,0,0,0,0,0,0,0.414947196,0,0,0,0,0,0,0,0,0.056677468,0,0,0,0.089614945,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Propria,January,0.015528624,0,0.015528624,0.098211643,0,0,0,0.034723059,0.32163376,0,0.100636987,0,0.026896366,0,0,0,0,0,0,0,0,0.203655998,0.058102792,0.109803955,0,0,0,0,0,0,0.815511544,0.015528624,0,0,0.021960791,0,0,0,0.015528624,0,0,0.221793118,0,0.046585873,0,0.315960762,0,0,0,0,0,0,0.015528624,0,0,0,0,0,0,0,0,0,0,0
Propria,April,0,0.016629753,0,0,0,0,0,0,0,0,0.040734408,0,0.023518022,0,0,0,0,0,0.028803576,0,0,0,0.373337021,0.081468817,0,0,0,0,0,0,0.555543264,0.016629753,0,0,0,0,0,0,0,0,0,0.695672464,0,0.016629753,0,0.21361304,0,0,0,0,0,0,0.028803576,0.10517579,0,0,0,0,0,0,0,0,0,0
Propria,July,0,0,0.011409401,0,0,0,0,0.011409401,0.036079694,0,0,0,0,0,0,0,0,0,0,0,0,0,0.011409401,0.997915036,0,0,0,0,0.011409401,0,0.025512196,0,0,0,0,0.019761662,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.036079694,0,0,0,0,0,0
