Biome,site,date,p1_ERA5,p3_ERA5,p7_ERA5,Biomass_density,Levins_index,Resource_richness,ratio,lat,lon,precip_p7_MERGE,precip_p3_MERGE,precip_p15_MERGE,precip_p1_MERGE,date_doy,MODIS_doy,evi_mean
Caatinga,Curralinho,2015-01-20,6.048357964,56.88345432,114.6609448,62,0.312131219,14,Inf,-9.72103,-37.60483,0,0,0.125,0,20,9,0.122792857
Caatinga,Curralinho,2015-04-14,0.80312109,6.813604355,6.813604355,62,0.032138697,17,102.5,-9.72103,-37.60483,17.5625,4.0625,17.5625,0.3125,104,97,0.125814288
Caatinga,Curralinho,2015-07-23,0,0,0,62,0.390549236,18,0.208924949,-9.72103,-37.60483,1.4375,1.0625,14.375,1.0625,204,193,0.274064286
Caatinga,Curralinho,2015-10-20,0,0,0,62,0.003666571,12,499,-9.72103,-37.60483,0.3125,0.125,10.0625,0,293,281,0.126464286
Caatinga,Ilha do ouro,2015-01-20,2.566318274,72.06485963,122.2823578,81,0.181617435,17,23.47619048,-9.89194,-37.248,0,0,0.0625,0,20,9,0.140621429
Caatinga,Ilha do ouro,2015-04-14,4.1058321,8.638541698,8.961290866,81,0.200088142,9,20.26666667,-9.89194,-37.248,13.6875,5.125,13.6875,0.25,104,97,0.135800001
Caatinga,Ilha do ouro,2015-07-23,0,0,0,81,0.150144303,16,4.081967213,-9.89194,-37.248,3.0625,2.6875,10.375,2.6875,204,193,0.21248
Caatinga,Ilha do ouro,2015-10-20,0,0,0,81,0.150144303,8,27.72727273,-9.89194,-37.248,0.375,0,11.1875,0,293,281,0.164400001
Caatinga,Niteroi,2015-01-20,2.566318274,72.06485963,122.2823578,100,0.293769032,12,10.84848485,-9.76083,-37.43322,14,0,0,0,20,9,0.143
Caatinga,Niteroi,2015-04-14,4.1058321,8.638541698,8.961290866,100,0.053755781,12,9.891891892,-9.76083,-37.43322,34.3125,6.6875,20.3125,0,104,97,0.15731818
Caatinga,Niteroi,2015-07-23,0,0,0,100,0.346184355,17,18.25,-9.76083,-37.43322,14.9375,0.9375,8.875,0.9375,204,193,0.2669
Caatinga,Niteroi,2015-10-20,0,0,0,100,0.178918166,13,15.76190476,-9.76083,-37.43322,14,0,9.375,0,293,281,0.153199998
Caatinga,UHE Xingo,2015-01-19,10.3356266,52.14503574,108.6125869,176,0.186778016,29,0.554517134,-9.63033,-37.75878,7,0,0,0,19,9,0.127133333
Caatinga,UHE Xingo,2015-07-22,0,0,0,176,0.147383709,13,5.277777778,-9.63033,-37.75878,12.3125,1,24.5,0,203,193,0.340666667
Caatinga,UHE Xingo,2015-10-19,0,0,0,176,0.134430342,11,4.083333333,-9.63033,-37.75878,7,0,9.75,0,292,281,0.178353333
Atlantic forest,Amparo,2015-01-21,1.716893196,11.8048954,66.52068555,107,0.287571836,21,1.201923077,-10.12794,-36.92431,0,0,0.875,0,21,9,0.195078571
Atlantic forest,Amparo,2015-04-15,22.53922462,24.6882751,24.6882751,107,0.204142906,16,0.02933004,-10.12794,-36.92431,22.3125,2.5625,22.3125,0,105,97,0.193950002
Atlantic forest,Amparo,2015-07-24,0,0,0,107,0.175353853,18,6.023809524,-10.12794,-36.92431,17.0625,16.4375,24,5.375,205,193,0.304057143
Atlantic forest,Gararu,2015-04-15,13.41566372,22.05420542,22.37695459,70,0.168613494,19,24.33333333,-9.96469,-37.08375,13.4375,0.1875,6.625,0,105,97,0.214350001
Atlantic forest,Gararu,2015-07-24,0,0,0,70,0.19510713,33,0.741573034,-9.96469,-37.08375,23.75,13.75,22.5625,8.9375,205,193,0.3849
Atlantic forest,Gararu,2015-10-21,0,0,0,70,0.004326153,11,11.54545455,-9.96469,-37.08375,7.75,0,7.1875,0,294,281,0.192814283
Atlantic forest,Propria,2015-01-21,1.716893196,11.8048954,66.52068555,62,0.139420923,18,16.47058824,-10.20939,-36.83181,14,0,0.6875,0,21,9,0.083473333
Atlantic forest,Propria,2015-04-15,22.53922462,24.6882751,24.6882751,62,0.202724634,13,4.428571429,-10.20939,-36.83181,28.25,2,17.25,0,105,97,0.090957144
Atlantic forest,Propria,2015-07-21,0,0,0,62,0,9,0.018583043,-10.20939,-36.83181,19.6875,0.75,27.5625,0,202,193,0.12982
